tag category,Tag,Linked tag category,Linked tag
TBL_BEGIN,,,?
Upload_data,_Upload_data.Data_file_name,Upload_data,_Upload_data.Data_file_name
Upload_data,_Upload_data.Data_file_name,Chem_comp,_Chem_comp.Image_file_name
Upload_data,_Upload_data.Data_file_name,Assigned_chem_shift_list,_Assigned_chem_shift_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Coupling_constant_list,_Coupling_constant_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Spectral_peak_list,_Spectral_peak_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Chem_shift_isotope_effect_list,_Chem_shift_isotope_effect_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Mol_interaction_chem_shift_diff,_Mol_interaction_chem_shift_diff.Data_file_name
Upload_data,_Upload_data.Data_file_name,Chem_shift_anisotropy,_Chem_shift_anisotropy.Data_file_name
Upload_data,_Upload_data.Data_file_name,Shielding_tensor_list,_Shielding_tensor_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Theoretical_chem_shift_list,_Theoretical_chem_shift_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,RDC_list,_RDC_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Dipolar_coupling_list,_Dipolar_coupling_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Spectral_density_list,_Spectral_density_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Other_data_type_list,_Other_data_type_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,H_exch_rate_list,_H_exch_rate_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,H_exch_protection_factor_list,_H_exch_protection_factor_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Homonucl_NOE_list,_Homonucl_NOE_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Heteronucl_NOE_list,_Heteronucl_NOE_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Heteronucl_T1_list,_Heteronucl_T1_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Heteronucl_T1rho_list,_Heteronucl_T1rho_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Heteronucl_T2_list,_Heteronucl_T2_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,General_relaxation_list,_General_relaxation_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Dipole_dipole_relax_list,_Dipole_dipole_relax_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Cross_correlation_DD_list,_Cross_correlation_DD_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Cross_correlation_D_CSA_list,_Cross_correlation_D_CSA_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,Order_parameter_list,_Order_parameter_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,PH_titration_list,_PH_titration_list.Data_file_name
Upload_data,_Upload_data.Data_file_name,PH_param_list,_PH_param_list.Data_file_name
